account_age_days,credit_score_band,kyc_level,avg_monthly_spend,merchant_risk_score,transaction_amount,is_international,ip_risk_score,txn_count_1h,txn_count_24h,failed_txn_count_24h,geo_distance_from_last_txn,amount_deviation_from_user_mean,post_auth_risk_score,txn_hour,txn_day,txn_month,txn_dayofweek,payment_channel_card,payment_channel_upi,payment_channel_wallet,device_type_mobile,device_type_tablet,is_fraud,fraud_probability,predicted_fraud
-0.1892665285000479,0.7086137618015436,1.224667610107916,-0.4708787118719613,-0.1220837868143493,1.441824003430304,-0.2729325833876487,-0.8002845965705314,-1.0512265833382894,-0.6744833789688074,1.098366062589733,-1.1724823611888138,1.4683867909828674,5.12314431502385,3,15,6,3,False,True,False,False,False,1.0,0.9971111,1
1.2102997271048108,1.4179756225894635,0.0013935570684929,0.0857601832258901,-1.0711123911200513,-1.079289228261087,-0.2729325833876487,1.5480236311878712,-1.0512265833382894,-0.1152434695498404,1.098366062589733,-1.149132098217491,-1.0827053081551594,4.713864338286628,13,8,7,5,True,False,False,True,False,1.0,0.99461854,1
1.4898635234803133,-0.7101099597742969,1.224667610107916,1.8301886716724307,-0.1370091199439295,0.4992980457463188,-0.2729325833876487,0.4605706213273403,-0.09498902195608,1.5624762587070602,-0.591120783183697,1.879421801733214,0.3854300814192556,4.252588019667567,0,23,6,4,True,False,False,True,False,1.0,0.58407927,1
1.5492708302101077,-1.4194718205622172,-1.22188049597093,0.1195191181853828,1.3326241164740154,4.377756266446836,-0.2729325833876487,-1.107384010977501,0.8612485394261293,-0.6744833789688074,-0.591120783183697,0.9160706871534272,4.362755910329847,1.1094827798448967,6,6,7,3,True,False,False,True,False,0.0,0.8882687,1
-1.0646506659008397,1.4179756225894635,0.0013935570684929,1.911446572300016,-0.7394094935439912,2.57013252984046,-0.2729325833876487,-0.564181417473577,-0.09498902195608,2.680956077544994,4.477339754136593,2.3876144471834566,2.447642542612184,5.467239435888032,12,19,1,3,True,False,False,True,False,1.0,1.0,1
-0.5771612959710575,-0.0007480989863767,-1.22188049597093,-0.7199980902035163,-1.4888168880100143,0.7053365382363207,-0.2729325833876487,-0.8928921782171191,-1.0512265833382894,4.358675805801894,-0.591120783183697,-1.1147584319374506,0.7485624727157636,4.990301310139043,22,11,3,5,True,False,False,False,True,1.0,0.9998814,1
0.8171631384517607,-0.7101099597742969,0.0013935570684929,1.742143529482931,0.8251901008333918,1.2410872706623142,-0.2729325833876487,0.1269076501967161,-1.0512265833382894,-0.6744833789688074,-0.591120783183697,-0.0618429331965955,1.1313640033431729,5.002474773188915,0,21,7,4,True,False,False,False,False,1.0,0.74205345,1
1.4898635234803133,0.7086137618015436,0.0013935570684929,-0.1506413950084582,0.7776488864778259,4.321916674374374,-0.2729325833876487,0.1959828769434806,0.8612485394261293,0.4439964398691264,-0.591120783183697,-0.2245224259612789,4.323693666696964,0.1203585269969918,9,8,1,6,False,False,True,True,False,0.0,0.7307058,1
1.5178199031178634,-0.7101099597742969,1.224667610107916,-1.4100673007603532,1.6504531453770162,3.921890117390415,-0.2729325833876487,0.255721253627951,2.773723662190548,-1.2337232883877742,-0.591120783183697,-0.3791549454845566,4.00212245583645,0.9051501660571104,13,8,3,2,True,False,False,True,False,0.0,0.9279067,1
0.0483626984191291,0.7086137618015436,-1.22188049597093,-1.3134849362335992,-1.1181210455560804,0.9483700735433992,3.663908455296782,-1.1428727730713242,0.8612485394261293,1.0032363492880934,1.098366062589733,3.0762278500657647,1.027815742061387,3.547377804056789,11,16,6,4,False,True,False,True,False,1.0,0.9976851,1
0.2737610092468779,-0.0007480989863767,0.0013935570684929,-0.847791548301732,2.5021734936155737,-0.0793506755235919,-0.2729325833876487,-0.2745457172779786,-0.09498902195608,0.4439964398691264,1.098366062589733,-0.5510252204854302,-0.0268685397510019,4.6520105650802,11,28,2,1,False,True,False,True,False,1.0,0.9984397,1
-1.7146364924738828,0.7086137618015436,-1.22188049597093,0.310365663546328,-0.4033641843163241,-0.1153492467830462,-0.2729325833876487,0.9113402703267904,-1.0512265833382894,2.680956077544994,-0.591120783183697,-0.5245694723622522,-0.1343109088921924,4.91045540158527,6,19,6,0,True,False,False,True,False,1.0,0.99978966,1
-1.139783436176756,-0.0007480989863767,-1.22188049597093,-0.6906818409438913,0.2349771561611894,-1.1275798433526465,-0.2729325833876487,-0.2595518712193582,-1.0512265833382894,-1.2337232883877742,-0.591120783183697,1.7006793823524256,-1.08297309120116,4.931871546798081,19,28,2,1,True,False,False,True,False,1.0,0.9992384,1
0.7612503791766602,-0.0007480989863767,0.0013935570684929,-1.0303525330102743,1.9718598845087,-1.1101071423764797,3.663908455296782,3.1765399295614336,-1.0512265833382894,1.5624762587070602,1.098366062589733,0.524784183789236,-1.0445589993638391,3.787244349037128,8,4,1,2,True,False,False,False,False,1.0,0.8833264,1
1.114199672100732,0.7086137618015436,-1.22188049597093,0.3925331911171358,0.7457772236009363,-0.0576478626358667,-0.2729325833876487,-0.7736274842350306,0.8612485394261293,-1.792963197806741,1.098366062589733,-0.3461283110854428,-0.081783128782942,4.36708862514781,18,22,1,6,False,True,False,True,False,1.0,0.9993901,1
1.715261834308062,0.7086137618015436,-1.22188049597093,-0.2131539981172131,-0.4944251028658263,-0.5771260972212123,-0.2729325833876487,1.1478114348303416,-0.09498902195608,3.2401959869639607,-0.591120783183697,0.0954479655802191,-0.562960935594463,4.207725627359287,10,7,3,1,False,False,True,False,False,1.0,0.50363904,1
1.000626879823184,0.7086137618015436,1.224667610107916,0.2224421605930056,-0.0365806089636021,2.612916910064719,-0.2729325833876487,-0.7406397754979074,-0.09498902195608,-0.6744833789688074,2.787852908363163,-0.1001783962120469,2.59463425804863,0.9058363976794166,7,2,7,6,False,False,True,True,False,0.0,0.83948296,1
-1.010485180353086,-0.0007480989863767,0.0013935570684929,0.3238627676611049,1.1364713738026015,-0.3340131097072545,-0.2729325833876487,-1.2229501397712528,1.8174861008083387,-0.1152434695498404,-0.591120783183697,0.6132932705300691,-0.3534274416199151,4.686886857634708,6,17,3,4,False,False,False,True,False,1.0,0.9979601,1
-0.6348213289735049,-0.7101099597742969,1.224667610107916,-0.2787874077898935,1.6813825868578025,-0.7651562164280813,-0.2729325833876487,0.8306142513847252,1.8174861008083387,2.121716168126027,1.098366062589733,-0.8256946340553359,-0.7466114101650523,4.561520918134614,23,26,2,6,True,False,False,True,False,1.0,0.99995875,1
1.2959161397448085,1.4179756225894635,0.0013935570684929,-0.8118668095527317,-0.2244103959694358,0.5968712107251308,-0.2729325833876487,1.4196341465303406,-1.0512265833382894,1.5624762587070602,1.098366062589733,-0.4095424811487877,0.6459580893550818,5.446666783710973,8,21,4,4,False,True,False,True,False,1.0,0.9998136,1
-1.0646506659008397,-0.0007480989863767,0.0013935570684929,-0.3631452745074162,1.3864877729512608,2.7317114065567245,-0.2729325833876487,1.84515625441278,0.8612485394261293,-1.792963197806741,2.787852908363163,-1.0839925549666354,2.749377048522132,-1.4802767320326082,7,3,3,4,False,True,False,True,False,0.0,0.61736286,1
1.194574263558689,0.7086137618015436,1.224667610107916,1.141745466105163,2.678423516217122,-0.0246310248744944,-0.2729325833876487,1.3252115860139284,-0.09498902195608,1.5624762587070602,-0.591120783183697,0.3949304737303426,-0.0950813253188299,4.398976950846859,16,10,2,4,True,False,False,True,False,1.0,0.99889034,1
-0.2783774885947393,1.4179756225894635,0.0013935570684929,0.7491843747038637,1.0273990056667166,0.7917366835633229,-0.2729325833876487,0.3409192308162854,-1.0512265833382894,2.680956077544994,-0.591120783183697,-0.4558194965052587,0.7441025477625238,3.784906872573647,0,19,7,2,False,True,False,True,False,1.0,0.50394356,1
